x,y,z1,z2
-5.0,-5.0,[20 20],[20 20]
-5.0,-4.0,[20 20],[20 20]
-5.0,-3.0,[20 20],[20 20]
-5.0,-2.0,[20 20],[20 20]
-5.0,-1.0,[20 20],[20 20]
-5.0,0.0,[20 20],[20 20]
-5.0,1.0,[20 20],[20 20]
-5.0,2.0,[20 20],[20 20]
-5.0,3.0,[20 20],[20 20]
-5.0,4.0,[20 20],[20 20]
-5.0,5.0,[-7.35031283 10.06152773],[-2.66334128 14.94968869]
-4.0,5.0,[-1.10573038 20.        ],[ 1.72020647 20.        ]
-4.0,4.0,[-5.97495195 10.33755009],[-1.54644811 13.95348078]
-4.0,3.0,[20 20],[-5.20494615 14.90463489]
-4.0,2.0,[20 20],[20 20]
-4.0,1.0,[20 20],[20 20]
-4.0,0.0,[20 20],[20 20]
-4.0,-1.0,[20 20],[20 20]
-4.0,-2.0,[20 20],[20 20]
-4.0,-3.0,[20 20],[20 20]
-4.0,-4.0,[20 20],[20 20]
-4.0,-5.0,[20 20],[20 20]
-3.0,-5.0,[20 20],[20 20]
-3.0,-4.0,[20 20],[20 20]
-3.0,-3.0,[20 20],[20 20]
-3.0,-2.0,[20 20],[20 20]
-3.0,-1.0,[20 20],[20 20]
-3.0,0.0,[20 20],[20 20]
-3.0,1.0,[20 20],[20 20]
-3.0,2.0,[20 20],[-5.35488151 13.36143289]
-3.0,3.0,[-5.47079217  9.8531458 ],[-1.48025385 12.74443209]
-3.0,4.0,[ 0.04263279 15.02499246],[ 2.26000465 20.        ]
-3.0,5.0,[ 5.42081483 20.        ],[ 5.99694452 15.0368072 ]
-2.0,5.0,[12.15140552 20.        ],[ 9.61970661 20.        ]
-2.0,4.0,[ 6.82934256 20.        ],[ 6.99977683 20.        ]
-2.0,3.0,[ 2.44001292 14.98680266],[ 3.79003622 20.        ]
-2.0,2.0,[-3.01139161 11.45168812],[-0.0394282  13.28360277]
-2.0,1.0,[-8.08198297  4.08254886],[-3.76826661 10.21706844]
-2.0,0.0,[20 20],[20 20]
-2.0,-1.0,[20 20],[20 20]
-2.0,-2.0,[20 20],[20 20]
-2.0,-3.0,[20 20],[20 20]
-2.0,-4.0,[20 20],[20 20]
-2.0,-5.0,[20 20],[20 20]
-1.0,-5.0,[20 20],[20 20]
-1.0,-4.0,[20 20],[20 20]
-1.0,-3.0,[20 20],[20 20]
-1.0,-2.0,[20 20],[20 20]
-1.0,-1.0,[20 20],[20 20]
-1.0,0.0,[-8.11466707  2.4572951 ],[-3.92565543  8.96086766]
-1.0,1.0,[-2.89655305 10.90588543],[-0.16257277 12.07361465]
-1.0,2.0,[ 2.74095216 15.01826314],[ 3.69380945 15.03849618]
-1.0,3.0,[ 7.33813251 20.        ],[  7.27596241 -13.17918173]
-1.0,4.0,[20 20],[ 9.98786288 20.        ]
-1.0,5.0,[20 20],[20 20]
0.0,5.0,[20 20],[20 20]
0.0,4.0,[20 20],[20 20]
0.0,3.0,[20 20],[11.23457407 20.        ]
0.0,2.0,[ 8.97852057 20.        ],[ 8.63450369 20.        ]
0.0,1.0,[ 5.38227972 20.        ],[ 5.4252544 20.       ]
0.0,0.0,[-0.03065491 13.3761545 ],[ 1.72560133 13.2801508 ]
0.0,-1.0,[-5.39703994  6.58543329],[-1.95113699  9.47748885]
0.0,-2.0,[-9.57139808 -4.26551265],[-5.57756515  5.05577734]
0.0,-3.0,[20 20],[20 20]
0.0,-4.0,[20 20],[20 20]
0.0,-5.0,[20 20],[20 20]
1.0,-5.0,[20 20],[20 20]
1.0,-4.0,[20 20],[20 20]
1.0,-3.0,[-9.10500941 -5.18370252],[-5.62235219  3.81410767]
1.0,-2.0,[-4.98571645  5.91281091],[-1.96692656  8.3832544 ]
1.0,-1.0,[ 0.09918553 12.36295114],[ 1.60938612 12.01373031]
1.0,0.0,[ 5.33130118 20.        ],[ 5.39237003 15.03749458]
1.0,1.0,[ 9.56293828 20.        ],[ 8.4277491 20.       ]
1.0,2.0,[20 20],[11.66603717 20.        ]
1.0,3.0,[20 20],[20 20]
1.0,4.0,[20 20],[20 20]
1.0,5.0,[20 20],[20 20]
2.0,5.0,[20 20],[20 20]
2.0,4.0,[20 20],[20 20]
2.0,3.0,[20 20],[20 20]
2.0,2.0,[20 20],[20 20]
2.0,1.0,[20 20],[20 20]
2.0,0.0,[20 20],[ 9.4996138 20.       ]
2.0,-1.0,[ 7.71674505 20.        ],[ 6.99541509 20.        ]
2.0,-2.0,[ 3.20085685 15.02296725],[ 3.39553922 12.73346804]
2.0,-3.0,[-2.7849795   9.05510661],[-0.41793632  9.39000491]
2.0,-4.0,[-8.19272002 -2.42989026],[-4.27052398  4.21867768]
2.0,-5.0,[20 20],[20 20]
3.0,-5.0,[-6.69667301 -0.55116888],[-3.11610019  4.01659392]
3.0,-4.0,[-1.87657617  9.43874152],[-0.0129714   8.99281676]
3.0,-3.0,[ 3.67508866 15.01561094],[ 3.75074239 12.7204315 ]
3.0,-2.0,[ 7.79996817 20.        ],[ 6.96913567 20.        ]
3.0,-1.0,[20 20],[ 9.46081097 20.        ]
3.0,0.0,[20 20],[20 20]
3.0,1.0,[20 20],[20 20]
3.0,2.0,[20 20],[20 20]
3.0,3.0,[20 20],[20 20]
3.0,4.0,[20 20],[20 20]
3.0,5.0,[20 20],[20 20]
4.0,5.0,[20 20],[20 20]
4.0,4.0,[20 20],[20 20]
4.0,3.0,[20 20],[20 20]
4.0,2.0,[20 20],[20 20]
4.0,1.0,[20 20],[20 20]
4.0,0.0,[20 20],[20 20]
4.0,-1.0,[20 20],[20 20]
4.0,-2.0,[20 20],[12.59729435 20.        ]
4.0,-3.0,[10.04891274 20.        ],[ 8.43314534 15.02548333]
4.0,-4.0,[ 5.83135411 20.        ],[ 5.254624   13.18270377]
4.0,-5.0,[ 0.53340175 11.4024796 ],[1.37976188 9.55676056]
5.0,-5.0,[ 7.09627046 20.        ],[ 6.09021647 13.20788011]
5.0,-4.0,[20 20],[ 8.6416595  15.01560067]
5.0,-3.0,[20 20],[14.82669874 20.        ]
5.0,-2.0,[20 20],[20 20]
5.0,-1.0,[20 20],[20 20]
5.0,0.0,[20 20],[20 20]
5.0,1.0,[20 20],[20 20]
5.0,2.0,[20 20],[20 20]
5.0,3.0,[20 20],[20 20]
5.0,4.0,[20 20],[20 20]
5.0,5.0,[20 20],[20 20]
