x,y,z1,z2
-5.0,-5.0,[20 20],[20 20]
-5.0,-4.0,[20 20],[20 20]
-5.0,-3.0,[20 20],[20 20]
-5.0,-2.0,[20 20],[20 20]
-5.0,-1.0,[20 20],[20 20]
-5.0,0.0,[20 20],[20 20]
-5.0,1.0,[20 20],[20 20]
-5.0,2.0,[20 20],[20 20]
-5.0,3.0,[-8.97877154 20.        ],[ -6.52417156 -12.91166288]
-5.0,4.0,[-6.47741722 20.        ],[-5.59848311 -6.21835888]
-5.0,5.0,[-2.6401062 20.       ],[-2.46002622 -0.67793505]
-4.0,5.0,[ 1.21593179 20.        ],[-0.02474847  5.30122831]
-4.0,4.0,[-1.77925373 20.        ],[-1.91884316 -0.77810706]
-4.0,3.0,[-5.49231182 20.        ],[-4.88859663 -5.7539167 ]
-4.0,2.0,[-6.8926376 20.       ],[ -6.98057311 -10.85882072]
-4.0,1.0,[20 20],[-2.81005543 20.        ]
-4.0,0.0,[20 20],[20 20]
-4.0,-1.0,[20 20],[20 20]
-4.0,-2.0,[20 20],[20 20]
-4.0,-3.0,[20 20],[20 20]
-4.0,-4.0,[20 20],[20 20]
-4.0,-5.0,[20 20],[20 20]
-3.0,-5.0,[20 20],[20 20]
-3.0,-4.0,[20 20],[20 20]
-3.0,-3.0,[20 20],[20 20]
-3.0,-2.0,[20 20],[20 20]
-3.0,-1.0,[20 20],[20 20]
-3.0,0.0,[20 20],[-2.6403919 20.       ]
-3.0,1.0,[-7.88348309 20.        ],[ -7.09114778 -12.35401025]
-3.0,2.0,[-5.72284353 20.        ],[-4.65015526 -7.5730195 ]
-3.0,3.0,[-1.50879385 20.        ],[-1.7395393  -2.00814993]
-3.0,4.0,[ 1.81690174 20.        ],[0.91205634 3.27760515]
-3.0,5.0,[ 4.19971244 20.        ],[ 2.64006268 20.        ]
-2.0,5.0,[20 20],[20 20]
-2.0,4.0,[20 20],[ 3.49094322 20.        ]
-2.0,3.0,[ 2.93809731 20.        ],[1.5943577  5.13990778]
-2.0,2.0,[-0.20665382 20.        ],[-0.78106625 -1.41809074]
-2.0,1.0,[-4.17788692 20.        ],[-3.13535792 -6.49707135]
-2.0,0.0,[-7.16455439 20.        ],[ -6.11882822 -11.36584873]
-2.0,-1.0,[-2.56870505 20.        ],[-7.75886526 20.        ]
-2.0,-2.0,[20 20],[20 20]
-2.0,-3.0,[20 20],[20 20]
-2.0,-4.0,[20 20],[20 20]
-2.0,-5.0,[20 20],[20 20]
-1.0,-5.0,[20 20],[20 20]
-1.0,-4.0,[20 20],[20 20]
-1.0,-3.0,[20 20],[20 20]
-1.0,-2.0,[-3.08820846 20.        ],[-7.76773591 20.        ]
-1.0,-1.0,[-7.17715757 20.        ],[ -6.32210225 -13.01751165]
-1.0,0.0,[-3.85991179 20.        ],[-3.30663365 -8.52705745]
-1.0,1.0,[ 0.07054557 20.        ],[-0.81346536 -3.08769176]
-1.0,2.0,[ 2.60434015 20.        ],[1.74514061 1.59777583]
-1.0,3.0,[20 20],[ 3.74910908 20.        ]
-1.0,4.0,[20 20],[20 20]
-1.0,5.0,[20 20],[20 20]
0.0,5.0,[20 20],[20 20]
0.0,4.0,[20 20],[20 20]
0.0,3.0,[20 20],[20 20]
0.0,2.0,[20 20],[20 20]
0.0,1.0,[ 4.03583811 20.        ],[ 2.579636 20.      ]
0.0,0.0,[ 1.48561528 20.        ],[ 0.21994472 -2.05189095]
0.0,-1.0,[-1.51624181 20.        ],[-2.07508158 -7.32607637]
0.0,-2.0,[-5.59059214 20.        ],[ -4.9953304  -13.04263196]
0.0,-3.0,[-8.61657645 20.        ],[-7.35259749 20.        ]
0.0,-4.0,[20 20],[-1.96280907 20.        ]
0.0,-5.0,[20 20],[20 20]
1.0,-5.0,[20 20],[-9.50371132 20.        ]
1.0,-4.0,[-6.10726486 20.        ],[-7.10466077 20.        ]
1.0,-3.0,[-5.72108369 20.        ],[ -5.14858618 -13.46207645]
1.0,-2.0,[-1.40668073 20.        ],[-1.97755171 -9.05835796]
1.0,-1.0,[ 1.56203715 20.        ],[ 0.10911747 -3.88163002]
1.0,0.0,[ 3.83669013 20.        ],[ 2.66363677 20.        ]
1.0,1.0,[20 20],[20 20]
1.0,2.0,[20 20],[20 20]
1.0,3.0,[20 20],[20 20]
1.0,4.0,[20 20],[20 20]
1.0,5.0,[20 20],[20 20]
2.0,5.0,[20 20],[20 20]
2.0,4.0,[20 20],[20 20]
2.0,3.0,[20 20],[20 20]
2.0,2.0,[20 20],[20 20]
2.0,1.0,[20 20],[20 20]
2.0,0.0,[20 20],[20 20]
2.0,-1.0,[20 20],[ 3.3811063 20.       ]
2.0,-2.0,[ 1.60914293 20.        ],[ 1.59021568 -2.50140361]
2.0,-3.0,[ 0.04521574 20.        ],[-0.85076281 -8.5181619 ]
2.0,-4.0,[-3.69568116 20.        ],[ -3.37770417 -13.64096249]
2.0,-5.0,[-7.18749619 20.        ],[-6.45703392 20.        ]
3.0,-5.0,[-2.1881895 20.       ],[ -2.76080911 -13.48265754]
3.0,-4.0,[ 0.46985424 20.        ],[-0.6346282  -9.40912102]
3.0,-3.0,[ 3.08343832 20.        ],[ 1.9176114  -3.71027697]
3.0,-2.0,[20 20],[ 2.74336075 20.        ]
3.0,-1.0,[20 20],[20 20]
3.0,0.0,[20 20],[20 20]
3.0,1.0,[20 20],[20 20]
3.0,2.0,[20 20],[20 20]
3.0,3.0,[20 20],[20 20]
3.0,4.0,[20 20],[20 20]
3.0,5.0,[20 20],[20 20]
4.0,5.0,[20 20],[20 20]
4.0,4.0,[20 20],[20 20]
4.0,3.0,[20 20],[20 20]
4.0,2.0,[20 20],[20 20]
4.0,1.0,[20 20],[20 20]
4.0,0.0,[20 20],[20 20]
4.0,-1.0,[20 20],[20 20]
4.0,-2.0,[20 20],[20 20]
4.0,-3.0,[20 20],[20 20]
4.0,-4.0,[20 20],[ 2.43662846 20.        ]
4.0,-5.0,[ 1.72887292 20.        ],[ 0.07820282 -9.63584011]
5.0,-5.0,[20 20],[ 3.37960521 20.        ]
5.0,-4.0,[20 20],[20 20]
5.0,-3.0,[20 20],[20 20]
5.0,-2.0,[20 20],[20 20]
5.0,-1.0,[20 20],[20 20]
5.0,0.0,[20 20],[20 20]
5.0,1.0,[20 20],[20 20]
5.0,2.0,[20 20],[20 20]
5.0,3.0,[20 20],[20 20]
5.0,4.0,[20 20],[20 20]
5.0,5.0,[20 20],[20 20]
