x,y,z1,z2
-5.0,-5.0,[20],[20]
-5.0,-4.0,[20],[20]
-5.0,-3.0,[20],[20]
-5.0,-2.0,[20],[20]
-5.0,-1.0,[20],[20]
-5.0,0.0,[20],[20]
-5.0,1.0,[20],[20]
-5.0,2.0,[20],[20]
-5.0,3.0,[20],[-5.59080215]
-5.0,4.0,[20],[-2.25338532]
-5.0,5.0,[-7.30836739],[1.57306871]
-4.0,-5.0,[20],[20]
-4.0,-4.0,[20],[20]
-4.0,-3.0,[20],[20]
-4.0,-2.0,[20],[20]
-4.0,-1.0,[20],[20]
-4.0,0.0,[20],[20]
-4.0,1.0,[20],[20]
-4.0,2.0,[20],[-5.4742643]
-4.0,3.0,[20],[-2.27400163]
-4.0,4.0,[-7.15554792],[1.58038762]
-4.0,5.0,[-1.0944343],[5.50811151]
-3.0,-5.0,[20],[20]
-3.0,-4.0,[20],[20]
-3.0,-3.0,[20],[20]
-3.0,-2.0,[20],[20]
-3.0,-1.0,[20],[20]
-3.0,0.0,[20],[20]
-3.0,1.0,[20],[-5.29511672]
-3.0,2.0,[20],[-2.03613539]
-3.0,3.0,[-5.78296681],[1.86193191]
-3.0,4.0,[-0.01367212],[5.61085659]
-3.0,5.0,[5.42698025],[8.96687051]
-2.0,-5.0,[20],[20]
-2.0,-4.0,[20],[20]
-2.0,-3.0,[20],[20]
-2.0,-2.0,[20],[20]
-2.0,-1.0,[20],[-7.90117817]
-2.0,0.0,[20],[-5.06538342]
-2.0,1.0,[-8.63692159],[-1.61021021]
-2.0,2.0,[-4.19887076],[2.32129395]
-2.0,3.0,[1.27027327],[5.87331911]
-2.0,4.0,[6.62474519],[9.0146351]
-2.0,5.0,[13.52766468],[11.61384797]
-1.0,-5.0,[20],[20]
-1.0,-4.0,[20],[20]
-1.0,-3.0,[20],[20]
-1.0,-2.0,[20],[-7.76442173]
-1.0,-1.0,[20],[-4.70220181]
-1.0,0.0,[-8.18240007],[-1.2572399]
-1.0,1.0,[-2.92767375],[2.57604941]
-1.0,2.0,[2.65842612],[6.33879167]
-1.0,3.0,[7.30163106],[9.34385293]
-1.0,4.0,[20],[14.4084367]
-1.0,5.0,[20],[20]
0.0,-5.0,[20],[20]
0.0,-4.0,[20],[20]
0.0,-3.0,[20],[-7.78038194]
0.0,-2.0,[20],[-4.26598938]
0.0,-1.0,[-7.4177131],[-0.62311027]
0.0,0.0,[-1.67407435],[3.17791732]
0.0,1.0,[4.19378256],[6.7017737]
0.0,2.0,[8.36715331],[9.49473703]
0.0,3.0,[20],[-13.70793156]
0.0,4.0,[20],[20]
0.0,5.0,[20],[20]
1.0,-5.0,[20],[20]
1.0,-4.0,[20],[-6.37624345]
1.0,-3.0,[-9.36514859],[-3.69984549]
1.0,-2.0,[-5.30341518],[-0.17095173]
1.0,-1.0,[0.02195873],[3.58986079]
1.0,0.0,[5.5077503],[7.15713115]
1.0,1.0,[9.42749476],[9.8715511]
1.0,2.0,[20],[20]
1.0,3.0,[20],[20]
1.0,4.0,[20],[20]
1.0,5.0,[20],[20]
2.0,-5.0,[20],[-5.80553999]
2.0,-4.0,[-8.40783205],[-2.92031297]
2.0,-3.0,[-3.66101304],[0.60759981]
2.0,-2.0,[1.87080882],[4.22730769]
2.0,-1.0,[6.78297842],[7.51210243]
2.0,0.0,[14.5026023],[10.49467231]
2.0,1.0,[20],[20]
2.0,2.0,[20],[20]
2.0,3.0,[20],[20]
2.0,4.0,[20],[20]
2.0,5.0,[20],[20]
3.0,-5.0,[-6.26046008],[-1.97978007]
3.0,-4.0,[-1.84228535],[1.33705912]
3.0,-3.0,[3.74446361],[4.98999167]
3.0,-2.0,[7.77321505],[7.98615436]
3.0,-1.0,[20],[10.89693645]
3.0,0.0,[20],[20]
3.0,1.0,[20],[20]
3.0,2.0,[20],[20]
3.0,3.0,[20],[20]
3.0,4.0,[20],[20]
3.0,5.0,[20],[20]
4.0,-5.0,[0.47179779],[2.37064453]
4.0,-4.0,[5.3038721],[5.79274128]
4.0,-3.0,[9.03563015],[8.66961485]
4.0,-2.0,[20],[12.98572403]
4.0,-1.0,[20],[20]
4.0,0.0,[20],[20]
4.0,1.0,[20],[20]
4.0,2.0,[20],[20]
4.0,3.0,[20],[20]
4.0,4.0,[20],[20]
4.0,5.0,[20],[20]
5.0,-5.0,[7.12617492],[6.64648822]
5.0,-4.0,[13.77798959],[9.12544253]
5.0,-3.0,[20],[20]
5.0,-2.0,[20],[20]
5.0,-1.0,[20],[20]
5.0,0.0,[20],[20]
5.0,1.0,[20],[20]
5.0,2.0,[20],[20]
5.0,3.0,[20],[20]
5.0,4.0,[20],[20]
5.0,5.0,[20],[20]
